IC5	5.08	40.58	180.00	LD117ADT33TR	DPACK
R30	25.72	5.08	0.00	4k7	RESC1608X60
R31	25.72	7.62	0.00	4k7	RESC1608X60
R32	25.72	10.16	0.00	330	RESC1608X60
R33	19.37	5.08	0.00	4k7	RESC1608X60
R34	19.37	7.62	0.00	4k7	RESC1608X60
R35	19.37	10.16	0.00	330	RESC1608X60
R36	13.02	5.08	0.00	4k7	RESC1608X60
R37	13.02	7.62	0.00	4k7	RESC1608X60
R38	13.02	10.16	0.00	330	RESC1608X60
R39	6.67	5.08	0.00	4k7	RESC1608X60
R40	6.67	7.62	0.00	4k7	RESC1608X60
R41	6.67	10.16	0.00	330	RESC1608X60
R42	34.29	8.57	90.00	4k7	RESC1608X60
R43	36.83	8.57	90.00	4k7	RESC1608X60
R44	39.37	8.57	90.00	330	RESC1608X60
R45	48.26	8.57	90.00	4k7	RESC1608X60
R46	50.80	8.57	90.00	4k7	RESC1608X60
R47	53.34	8.57	90.00	330	RESC1608X60
R48	107.00	2.54	0.00	4k7	RESC1608X60
R49	107.00	5.08	0.00	4k7	RESC1608X60
R50	107.00	7.62	0.00	330	RESC1608X60
R51	113.35	2.54	0.00	4k7	RESC1608X60
R52	113.35	5.08	0.00	4k7	RESC1608X60
R53	113.35	7.62	0.00	330	RESC1608X60
R54	75.25	10.00	180.00	10	RESC1608X60
